"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4103","Login test for locked_out_user","chromium","2026-05-13","passed","2026-05-13","","login.spec.ts","",""
"","130","API Users Test @api","firefox","2026-05-13","passed","2026-05-13","","api.spec.ts","",""
"","3604","Login test for standard_user","firefox","2026-05-13","passed","2026-05-13","","login.spec.ts","",""
"","851","Login test for locked_out_user","webkit","2026-05-13","passed","2026-05-13","","login.spec.ts","",""
"","4191","Complete Order Flow @smoke","chromium","2026-05-13","passed","2026-05-13","","order.spec.ts","",""
"","3932","Login test for standard_user","chromium","2026-05-13","passed","2026-05-13","","login.spec.ts","",""
"","168","API Users Test @api","webkit","2026-05-13","passed","2026-05-13","","api.spec.ts","",""
"","1168","Login test for standard_user","webkit","2026-05-13","passed","2026-05-13","","login.spec.ts","",""
"","2887","Complete Order Flow @smoke","firefox","2026-05-13","passed","2026-05-13","","order.spec.ts","",""
"","3144","Login test for locked_out_user","firefox","2026-05-13","passed","2026-05-13","","login.spec.ts","",""
"","2068","Complete Order Flow @smoke","webkit","2026-05-13","passed","2026-05-13","","order.spec.ts","",""
"","146","API Users Test @api","chromium","2026-05-13","passed","2026-05-13","","api.spec.ts","",""
